ProductId,LocalOrderCode,Description,Price,weight,UnitOfMeasure,Quantity,Accessory,Title
1STQ009118A0000,PRVS1080,SEGR.VER.REAR H=1000MM W=800MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ009130A0000,PRVS1081,SEGR.VERT.REAR H=1000MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ009109A0000,PRVS1082,SEGR.VERT.REAR H=1000MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ001974B0000,PRVS1541,REAR VERT.SEGR. H=150MM W=400MM INT.UP.,0,0,pcs,1,,Segregations
1STQ002002B0000,PRVS1560,REAR VERT.SEGR.H=150MM W=600MM NO IN.UP.,0,0,pcs,1,,Segregations
1STQ001975B0000,PRVS1561,REAR VERT.SEGR. H=150MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ001984B0000,PRVS1562,REAR VERT.SEGR. H=150MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ002003B0000,PRVS1580,REAR VERT.SEGR.H=150MM W=800MM NO IN.UP.,0,0,pcs,1,,Segregations
1STQ001976B0000,PRVS1581,REAR VERT.SEGR. H=150MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ001985B0000,PRVS1582,REAR VERT.SEGR. H=150MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008874A0000,PRVS1710,SEGR.VER.REAR H=175MM W=1000MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008844A0000,PRVS1740,SEGR.VERT.REAR H=175MM W=400MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008764A0000,PRVS1741,SEGR.VERT.REAR H=175MM W=400MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008854A0000,PRVS1760,SEGR.VERT.REAR H=175MM W=600MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008774A0000,PRVS1761,SEGR.VERT.REAR H=175MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008814A0000,PRVS1762,SEGR.VERT.REAR H=175MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008864A0000,PRVS1780,SEGR.VERT.REAR H=175MM W=800MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008784A0000,PRVS1781,SEGR.VERT.REAR H=175MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008824A0000,PRVS1782,SEGR.VERT.REAR H=175MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008875A0000,PRVS2010,SEGR.VER.REAR H=200MM W=1000MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008845A0000,PRVS2040,SEGR.VERT.REAR H=200MM W=400MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008765A0000,PRVS2041,SEGR.VERT.REAR H=200MM W=400MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008855A0000,PRVS2060,SEGR.VERT.REAR H=200MM W=600MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008775A0000,PRVS2061,SEGR.VERT.REAR H=200MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008815A0000,PRVS2062,SEGR.VERT.REAR H=200MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008865A0000,PRVS2080,SEGR.VERT.REAR H=200MM W=800MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008785A0000,PRVS2081,SEGR.VERT.REAR H=200MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008825A0000,PRVS2082,SEGR.VERT.REAR H=200MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ009139A0000,PRVS2125,SEGR.VER.REAR H=200MM W=1250MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008876A0000,PRVS2210,SEGR.VER.REAR H=225MM W=1000MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008846A0000,PRVS2240,SEGR.VERT.REAR H=225MM W=400MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008766A0000,PRVS2241,SEGR.VERT.REAR H=225MM W=400MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008786A0000,PRVS2251,SEGR.VERT.REAR H=225MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008856A0000,PRVS2260,SEGR.VERT.REAR H=225MM W=600MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008776A0000,PRVS2261,SEGR.VERT.REAR H=225MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008816A0000,PRVS2262,SEGR.VERT.REAR H=225MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008866A0000,PRVS2280,SEGR.VERT.REAR H=225MM W=800MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008826A0000,PRVS2282,SEGR.VERT.REAR H=225MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008877A0000,PRVS2510,SEGR.VER.REAR H=250MM W=1000MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008837A0000,PRVS2512,SEGR.VER.REAR H=250MM W=1250MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008847A0000,PRVS2540,SEGR.VERT.REAR H=250MM W=400MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008767A0000,PRVS2541,SEGR.VERT.REAR H=250MM W=400MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008857A0000,PRVS2560,SEGR.VERT.REAR H=250MM W=600MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008777A0000,PRVS2561,SEGR.VERT.REAR H=250MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008817A0000,PRVS2562,SEGR.VERT.REAR H=250MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008867A0000,PRVS2580,SEGR.VERT.REAR H=250MM W=800MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008787A0000,PRVS2581,SEGR.VERT.REAR H=250MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008827A0000,PRVS2582,SEGR.VERT.REAR H=250MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008878A0000,PRVS3010,SEGR.VER.REAR H=300MM W=1000MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008848A0000,PRVS3040,SEGR.VERT.REAR H=300MM W=400MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008768A0000,PRVS3041,SEGR.VERT.REAR H=300MM W=400MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008858A0000,PRVS3060,SEGR.VERT.REAR H=300MM W=600MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008778A0000,PRVS3061,SEGR.VERT.REAR H=300MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008818A0000,PRVS3062,SEGR.VERT.REAR H=300MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008868A0000,PRVS3080,SEGR.VERT.REAR H=300MM W=800MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008788A0000,PRVS3081,SEGR.VERT.REAR H=300MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008828A0000,PRVS3082,SEGR.VERT.REAR H=300MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008884A0000,PRVS3125,SEGR.VER.REAR H=300MM W=1250MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ009141A0000,PRVS3501,SEGR.VER.REAR H=350MM W=1250MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008879A0000,PRVS3510,SEGR.VER.REAR H=350MM W=1000MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008769A0000,PRVS3541,SEGR.VERT.REAR H=350MM W=400MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008779A0000,PRVS3561,SEGR.VERT.REAR H=350MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008789A0000,PRVS3581,SEGR.VERT.REAR H=350MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008770A0000,PRVS4041,SEGR.VERT.REAR H=400MM W=400MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008780A0000,PRVS4061,SEGR.VERT.REAR H=400MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008790A0000,PRVS4081,SEGR.VERT.REAR H=400MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008771A0000,PRVS4541,SEGR.VERT.REAR H=450MM W=400MM INT.UP.,0,0,pcs,1,,Segregations
1STQ002350B0000,PRVS4560,SEGR.VERT.REAR H=450MM W=600MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008781A0000,PRVS4561,SEGR.VERT.REAR H=450MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ002354B0000,PRVS4580,SEGR.VERT.REAR H=450MM W=800MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008791A0000,PRVS4581,SEGR.VERT.REAR H=450MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ008772A0000,PRVS5041,SEGR.VERT.REAR H=500MM W=400MM INT.UP.,0,0,pcs,1,,Segregations
1STQ002351B0000,PRVS5060,SEGR.VERT.REAR H=500MM W=600MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008782A0000,PRVS5061,SEGR.VERT.REAR H=500MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ002355B0000,PRVS5080,SEGR.VERT.REAR H=500MM W=800MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008792A0000,PRVS5081,SEGR.VERT.REAR H=500MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ004141B0000,PRVS5510,VER REAR SEGR 3B FOR COMP H550 D1000,96.8,2.21,pcs,1,,Segregations
1STQ002524M0000,PRVS5510A,VER REAR SEGR 3B FOR COMP H550 D1000,108.2,0,pcs,1,,Segregations
1STQ004139B0000,PRVS5560,VER REAR SEGR 3B FOR COMP H550 D600,85.3,1.31,pcs,1,,Segregations
1STQ002525M0000,PRVS5560A,VER REAR SEGR 3B FOR COMP H550 D600,95.4,0,pcs,1,,Segregations
1STQ004140B0000,PRVS5580,VER REAR SEGR 3B FOR COMP H550 D800,90.6,1.76,pcs,1,,Segregations
1STQ002526M0000,PRVS5580A,VER REAR SEGR 3B FOR COMP H550 D800,101.3,0,pcs,1,,Segregations
1STQ008773A0000,PRVS6041,SEGR.VERT.REAR H=600MM W=400MM INT.UP.,0,0,pcs,1,,Segregations
1STQ002352B0000,PRVS6060,SEGR.VERT.REAR H=600MM W=600MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008783A0000,PRVS6061,SEGR.VERT.REAR H=600MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ002356B0000,PRVS6080,SEGR.VERT.REAR H=600MM W=800MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ008793A0000,PRVS6081,SEGR.VERT.REAR H=600MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ002353B0000,PRVS6560,SEGR.VERT.REAR H=650MM W=600MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ002357B0000,PRVS6580,SEGR.VERT.REAR H=650MM W=800MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ009119A0000,PRVS7010,SEGR.VERT.REAR H=700MM W=1000MM  NO I.UP,0,0,pcs,1,,Segregations
1STQ009110A0000,PRVS7040,SEGR.VERT.REAR H=700MM W=400MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ009122A0000,PRVS7041,SEGR.VERT.REAR H=700MM W=400MM INT.UP.,0,0,pcs,1,,Segregations
1STQ009113A0000,PRVS7060,SEGR.VERT.REAR H=700MM W=600MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ009125A0000,PRVS7061,SEGR.VERT.REAR H=700MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ009104A0000,PRVS7062,SEGR.VERT.REAR H=700MM W=600MM INT.UP.,0,0,pcs,1,,Segregations
1STQ009116A0000,PRVS7080,SEGR.VERT.REAR H=700MM W=800MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ009128A0000,PRVS7081,SEGR.VERT.REAR H=700MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ009107A0000,PRVS7082,SEGR.VERT.REAR H=700MM W=800MM INT.UP.,0,0,pcs,1,,Segregations
1STQ009120A0000,PRVS8010,SEGR.VERT.REAR H=800MM W=1000MM  NO I.UP,0,0,pcs,1,,Segregations
1STQ009111A0000,PRVS8040,SEGR.VERT.REAR H=800MM W=400MM  NO I.UP.,0,0,pcs,1,,Segregations
1STQ009123A0000,PRVS8041,SEGR.VERT.REAR H=800MM W=400MM INT.UP.,0,0,pcs,1,,Segregations
1STQ009114A0000,PRVS8060,SEGR.VERT.REAR H=800MM W=600MM  NO I.UP.,0,0,pcs,1,,Segregations
