ProductId;LocalOrderCode;HasGraphicalItem;Description_EN;Description_DE;Price;weight;UnitOfMeasure;Quantity;Accessory;Title;;;
1SDA038317R0001;1SDA038317R1;0;TIME DEL.UVR 48V E1/6-T7-X1-T8-E1.2/6.2;Zeitv.U-Ausl. T7 X1 E1-6 48V AC/DC Zub. f. Leistungsschalter E1-E6;432.00;1;pcs;1;;Device;;;
1SDA038318R0001;1SDA038318R1;0;TIME DEL.UVR 60V E1/6-T7-X1-T8-E1.2/6.2;Zeitv.U-Ausl. T7 X1 E1-6 60V AC/DC Zub. f. Leistungsschalter E1-E6;420.00;1;pcs;1;;Device;;;
1SDA038319R0001;1SDA038319R1;0;T.DEL.UVR 110/127VE1/6-T7-X1-T8-E1.2/6.2;Zeitv.U-Ausl. T7 X1 E1-6 110-127V AC/DC Zub. f. Leistungsschalter E1-E6;432.00;1;pcs;1;;Device;;;
1SDA038320R0001;1SDA038320R1;0;T.DEL.UVR 220/250VE1/6-T7-X1-T8-E1.2/6.2;Zeitv.U-Ausl. T7 X1 E1-6 220-250V AC/DC Zub. f. Leistungsschalter E1-E6;420.00;1;pcs;1;;Device;;;
1SDA038321R0001;1SDA038321R1;0;GEARED MOTOR DEVICE 24/30V E1/6-T8;Motorantrieb   E1-E6  24- 30V AC/DC Zub. f. Leistungsschalter E1-E6;1196.00;1;pcs;1;;Device;;;
1SDA038322R0001;1SDA038322R1;0;GEARED MOTOR DEVICE 48/60V E1/6-T8;Motorantrieb   E1-E6  48- 60V AC/DC Zub. f. Leistungsschalter E1-E6;1196.00;1;pcs;1;;Device;;;
1SDA038323R0001;1SDA038323R1;0;GEARED MOTOR DEVICE 100/130V E1/6-T8;Motorantrieb   E1-E6 100-130V AC/DC Zub. f. Leistungsschalter E1-E6;1196.00;1;pcs;1;;Device;;;
1SDA038324R0001;1SDA038324R1;0;GEARED MOTOR DEVICE 220/250V E1/6-T8;Motorantrieb   E1-E6 220-250V AC/DC Zub. f. Leistungsschalter E1-E6;1196.00;1;pcs;1;;Device;;;
1SDA038325R0001;1SDA038325R1;0;CLOSING SPRING ELECTR.INDICATION E1/6;Meldeschal. Einschaltfedern E1-E6 Zub. f. Leistungsschalter E1-E6;110.00;1;pcs;1;;Device;;;
1SDA038340R0001;1SDA038340R1;0;UVR DE-ENERGIZED ELEC.IND.-N.O. E1/6-T8;Meldeschalter U-Ausl.E1-E6 1S Zub. f. Leistungsschalter E1-E6;110.00;1;pcs;1;;Device;;;
1SDA038341R0001;1SDA038341R1;0;UVR DE-ENERGIZED ELEC.IND.-N.C. E1/6-T8;Meldeschalter U-Ausl.E1-E6 1ö Zub. f. Leistungsschalter E1-E6;110.00;1;pcs;1;;Device;;;
1SDA038343R0001;1SDA038343R1;0;PUSHBOTTONS PROTECTION E1/6-T8;Tasterabdeckung E1-E6 Zub. f. Leistungsschalter E1-E6;95.50;0.034;pcs;1;;Device;;;
1SDA038344R0001;1SDA038344R1;0;IP54 PROTECT WITH KEYS LOCK SEV. E1/6-T8;Schaltfeldtürabd. IP54 E1-E6 Divers Zub. f. Leistungsschalter E1-E6;636.00;1;pcs;1;;Device;;;
1SDA038351R0001;1SDA038351R1;0;PADLOCK DEV.IN OPEN POS.D=4mm E1/6-T8;Schlossverriegelung E1-E6 4mm Zub. f. Leistungsschalter E1-E6;207.00;1;pcs;1;;Device;;;
1SDA046578R0001;1SDA046578R1;0;KIT HR/VR S8-T8 2500A 6pcs;KIT HR/VR S8-T8 2500A 6pcs;1390.00;17;pcs;1;;Device;;;
1SDA046579R0001;1SDA046579R1;0;KIT HR/VR S8-T8 2500A 8pcs;KIT HR/VR S8-T8 2500A 8pcs;1807.00;22;pcs;1;;Device;;;
1SDA048964R0001;1SDA048964R1;0;UNIT PR010/T;UE-Ausl.Prüfgerät Pr010/T Zub. f. Leistungsschalter;7845.00;2.8;pcs;1;;Device;;;
1SDA050157R0001;1SDA050157R1;0;SHUNT OPEN.RELEASE ADDITIO 24VDC E1/6-T8;2.A-Ausl.  E1-E6  24V DC Zub. f. Leistungsschalter E1-E6;735.00;1;pcs;1;;Device;;;
1SDA050158R0001;1SDA050158R1;0;SHUNT OPEN.RELEASE ADDITIONA 30V E1/6-T8;2.A-Ausl.  E1-E6  30V AC/DC Zub. f. Leistungsschalter E1-E6;735.00;1;pcs;1;;Device;;;
1SDA050159R0001;1SDA050159R1;0;SHUNT OPEN.RELEASE ADDITIONA 48V E1/6-T8;2.A-Ausl.  E1-E6  48V AC/DC Zub. f. Leistungsschalter E1-E6;735.00;1;pcs;1;;Device;;;
1SDA050160R0001;1SDA050160R1;0;SHUNT OPEN.RELEASE ADDITIONA 60V E1/6-T8;2.A-Ausl.  E1-E6  60V AC/DC Zub. f. Leistungsschalter E1-E6;735.00;1;pcs;1;;Device;;;
1SDA050161R0001;1SDA050161R1;0;SHUNT OPEN.RELEAS ADDIT.110/120V E1/6-T8;2.A-Ausl.  E1-E6 110-120V AC/DC Zub. f. Leistungsschalter E1-E6;735.00;1;pcs;1;;Device;;;
1SDA050162R0001;1SDA050162R1;0;SHUNT OPEN.RELEAS ADDIT.120/127V E1/6-T8;2.A-Ausl.  E1-E6 120-127V AC/DC Zub. f. Leistungsschalter E1-E6;735.00;1;pcs;1;;Device;;;
1SDA050163R0001;1SDA050163R1;0;SHUNT OPEN.RELEAS ADDIT.220/240V E1/6-T8;2.A-Ausl.  E1-E6 220-240V AC/DC Zub. f. Leistungsschalter E1-E6;735.00;1;pcs;1;;Device;;;
1SDA050164R0001;1SDA050164R1;0;SHUNT OPEN.RELEAS ADDIT.240/250V E1/6-T8;2.A-Ausl.  E1-E6 240-250V AC/DC Zub. f. Leistungsschalter E1-E6;735.00;1;pcs;1;;Device;;;
1SDA050165R0001;1SDA050165R1;0;SHUNT OPEN.REL.ADDI. 380/400V AC E1/6-T8;2.A-Ausl.  E1-E6 380-400V AC Zub. f. Leistungsschalter E1-E6;849.00;1;pcs;1;;Device;;;
1SDA050166R0001;1SDA050166R1;0;SHUNT OPEN.REL.ADDIT. 440V AC E1/6-T8;2.A-Ausl.  E1-E6 440-480V AC Zub. f. Leistungsschalter E1-E6;849.00;1;pcs;1;;Device;;;
1SDA050228R0001;1SDA050228R1;0;SOR TEST UNIT T7-T7M-X1-E1/6-T8-E1.2/6.2;überwachungseinheit A-Ausl.  E1-E6-T7-T7M-X1 Zub. f. Leistungsschalter E1-E6/T7/X1;410.00;0.00;pcs;1;;Device;;;
1SDA050230R0001;1SDA050230R1;0;1/2 KIT STANDARD TERMINALS;DUMMY-NUMMER FÜR 1/2 ANSCHL.EMAX U.ISOMA ;1.10;0.00;pcs;1;;Device;;;
1SDA050542R0001;1SDA050542R1;0;RCQ + TOR CL 185 mm;Fehlerstromausl. RCQ Wandler Gesch.185mm Zub. f. Leistungsschalter;1076.00;0.645;pcs;1;;Device;;;
1SDA050543R0001;1SDA050543R1;0;TOR CL 185 mm RCQ;Ringkernstromw.  RCQ Geschl.185mm Zub. f. Leistungsschalter;559.00;1;pcs;1;;Device;;;
1SDA050688R0001;1SDA050688R1;0;KIT ES T6 - S6 6pcs;Umbaus.  Ans. 6 S6 T6      F FF ES Zub. f. Leistungsschalter S6/T6;362.00;3.597;pcs;1;;Device;;;
1SDA050689R0001;1SDA050689R1;0;KIT ES T6 - S6 8pcs;Umbaus.  Ans. 8 S6 T6      F FF ES Zub. f. Leistungsschalter S6/T6;481.00;5;pcs;1;;Device;;;
1SDA050692R0001;1SDA050692R1;0;KIT ES UP T6 - S6 3pcs;Umbaus.  Ans. 3 S6 T6      F FF ES O Zub. f. Leistungsschalter S6/T6;181.00;1.883;pcs;1;;Device;;;
1SDA050693R0001;1SDA050693R1;0;KIT ES T6 - S6 4pcs;Umbaus.  Ans. 4 S6 T6      F FF ES Zub. f. Leistungsschalter S6/T6;240.00;2.564;pcs;1;;Device;;;
1SDA050696R0001;1SDA050696R1;0;KIT INSUL. PARTIT. DIV.PHASE 3p S6-S7-T6;Phasentrennwände Hoch S6-S7 T64 Zub. f. Leistungsschalter S6-S7/T6;67.50;1;pcs;1;;Device;;;
1SDA050697R0001;1SDA050697R1;0;KIT INSULAT. PART. DIV.PHASE 4p S6-S7-T6;Phasentrennwände Hoch S6-S7 T66 Zub. f. Leistungsschalter S6-S7/T6;101.00;1;pcs;1;;Device;;;
1SDA050699R0001;1SDA050699R1;0;KEY LOCK RONIS IN OPEN POS. E1/6;Aufnahme Ronis Schlü.-Verr. Aus E1-E6 F Zub. f. Leistungsschalter E1-E6;147.00;1;pcs;1;;Device;;;
1SDA050704R0001;1SDA050704R1;0;KIT ES LO T6 - S6 3pcs;Umbaus.  Ans. 3 S6 T6      F FF ES U Zub. f. Leistungsschalter S6/T6;181.00;1.882;pcs;1;;Device;;;
1SDA050875R0001;1SDA050875R1;;T1B 160 TMD50-630 3p F FC Cu (1?ù70mm2);T1B 160 TMD50-630 3p F FC Cu (1?ù70mm2);0.00;1;pcs;1;;Device;;;
1SDA050876R0001;1SDA050876R1;;T1B 160 TMD63-630 3p F FC Cu (1?ù70mm2);T1B 160 TMD63-630 3p F FC Cu (1?ù70mm2);0.00;1;pcs;1;;Device;;;
1SDA050877R0001;1SDA050877R1;;T1B 160 TMD80-800 3p F FC Cu (1?ù70mm2);T1B 160 TMD80-800 3p F FC Cu (1?ù70mm2);0.00;1;pcs;1;;Device;;;
1SDA050878R0001;1SDA050878R1;;T1B 160 TMD100-1000 3p F FC Cu (1?ù70mm2);T1B 160 TMD100-1000 3p F FC Cu (1?ù70mm2);0.00;1;pcs;1;;Device;;;
1SDA050879R0001;1SDA050879R1;;T1B 160 TMD125-1250 3p F FC Cu (1?ù70mm2);T1B 160 TMD125-1250 3p F FC Cu (1?ù70mm2);0.00;1;pcs;1;;Device;;;
1SDA050880R0001;1SDA050880R1;;T1B 160 TMD160-1600 3p F FC Cu (1?ù70mm2);T1B 160 TMD160-1600 3p F FC Cu (1?ù70mm2);0.00;1;pcs;1;;Device;;;
1SDA050882R0001;1SDA050882R1;;T1B 160 TMD20-630 4p F FC Cu (1?ù70mm2);T1B 160 TMD20-630 4p F FC Cu (1?ù70mm2);0.00;1.3;pcs;1;;Device;;;
1SDA050887R0001;1SDA050887R1;;T1B 160 TMD63-630 4p F FC Cu (1?ù70mm2);T1B 160 TMD63-630 4p F FC Cu (1?ù70mm2);0.00;1.3;pcs;1;;Device;;;
1SDA050888R0001;1SDA050888R1;;T1B 160 TMD80-800 4p F FC Cu (1?ù70mm2);T1B 160 TMD80-800 4p F FC Cu (1?ù70mm2);0.00;1.3;pcs;1;;Device;;;
1SDA050889R0001;1SDA050889R1;;T1B 160 TMD100-1000 4p F FC Cu (1?ù70mm2);T1B 160 TMD100-1000 4p F FC Cu (1?ù70mm2);0.00;1.3;pcs;1;;Device;;;
1SDA050890R0001;1SDA050890R1;;T1B 160 TMD125-1250 4p F FC Cu (1?ù70mm2);T1B 160 TMD125-1250 4p F FC Cu (1?ù70mm2);0.00;1.3;pcs;1;;Device;;;
1SDA050891R0001;1SDA050891R1;;T1B 160 TMD160-1600 4p F FC Cu (1?ù70mm2);T1B 160 TMD160-1600 4p F FC Cu (1?ù70mm2);0.00;1.3;pcs;1;;Device;;;
1SDA050898R0001;1SDA050898R1;;T1C 160 TMD63-630 3p F FC Cu (1?ù70mm2);T1C 160 TMD63-630 3p F FC Cu (1?ù70mm2);0.00;1;pcs;1;;Device;;;
1SDA050899R0001;1SDA050899R1;;T1C 160 TMD80-800 3p F FC Cu (1?ù70mm2);T1C 160 TMD80-800 3p F FC Cu (1?ù70mm2);0.00;1;pcs;1;;Device;;;
