Language;ProductId;LocalOrderCode;Description;Price;Weight;quantity;Image;UIGroup;;;;;;;;;
de_DE;2CPX046029R9999;RZT83;Profilschiene Nr.3 T8;20.8;1.9448;1;RZT83.png;Profiles;;;;;;;;;
de_DE;2CPX046030R9999;RZB13;Profilschiene Nr.3 FB1;11.7;0.68432;1;RZB13.png;Profiles;;;;;;;;;
de_DE;2CPX046031R9999;RZB23;Profilschiene Nr.3 FB2;17.7;1.38424;1;RZB23.png;Profiles;;;;;;;;;
de_DE;2CPX046032R9999;RZB33;Profilschiene Nr.3 FB3;24.7;2.0852;1;RZB33.png;Profiles;;;;;;;;;
de_DE;2CPX046033R9999;RZB43;Profilschiene Nr.3 FB4;31.4;2.78616;1;RZB43.png;Profiles;;;;;;;;;
de_DE;2CPX046034R9999;RZB53;Profilschiene Nr.3 FB5;39.2;3.48712;1;RZB53.png;Profiles;;;;;;;;;
de_DE;2CPX046035R9999;RZT310;Profilschiene Nr.10 T3;10.85;0.234;1;RZT310.png;Profiles;;;;;;;;;
de_DE;2CPX046036R9999;RZT410;Profilschiene Nr.10 T4;15.05;0.35568;1;RZT410.png;Profiles;;;;;;;;;
de_DE;2CPX046037R9999;RZT610;Profilschiene Nr.10 T6;18.9;0.59696;1;RZT610.png;Profiles;;;;;;;;;
de_DE;2CPX046038R9999;RZT810;Profilschiene Nr.10 T8;25.6;0.83928;1;RZT810.png;Profiles;;;;;;;;;
de_DE;2CPX046039R9999;RZB110;Profilschiene Nr.10 FB1;13.75;0.29432;1;RZB110.png;Profiles;;;;;;;;;
de_DE;2CPX046040R9999;RZB210;Profilschiene Nr.10 FB2;19.45;0.59696;1;RZB210.png;Profiles;;;;;;;;;
de_DE;2CPX046041R9999;RZB310;Profilschiene Nr.10 FB3;26.2;0.8996;1;RZB310.png;Profiles;;;;;;;;;
de_DE;2CPX046042R9999;RZB410;Profilschiene Nr.10 FB4;32.9;1.2012;1;RZB410.png;Profiles;;;;;;;;;
de_DE;2CPX046043R9999;RZB510;Profilschiene Nr.10 FB5;40.1;1.4976;1;RZB510.png;Profiles;;;;;;;;;
de_DE;2CPX060601R9999;XZ301;Profil Nr.1  25x14 x6000mm;78;2.08;1;XZ301.png;Profiles;;;;;;;;;
de_DE;2CPX060602R9999;XZ302;Profil Nr.2  25x20 x6000mm;97;3.12;1;XZ301.png;Profiles;;;;;;;;;
de_DE;2CPX060603R9999;XZ303;Profil Nr.3  32x25 x6000mm;163;6.24;1;XZ301.png;Profiles;;;;;;;;;
de_DE;2CPX060610R9999;XZ310;Profil Nr.10  35x19 x6000mm;162;8.32;1;XZ301.png;Profiles;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
