Item;Description;Description ;Beschreibung;M;L;DIN;ISO;UNI;Weight;ArtNr. SUJ;Beschreibung
VTE12X65;SCREW TE  U5739 12X65 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;65;933;4017;5739;0,436111111;103837;Sechskantschraube M12x65mm DIN933 8.8 vz
VTE12X70;SCREW TE  U5739 12X70 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;70;933;4017;5739;0,461111111;103124;Sechskantschraube M12x70mm DIN933 8.8 vz
VTE12X75;SCREW TE  U5739 12X75 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;75;933;4017;5739;00.07;132443;Sechskantschraube M12x75mm DIN933 8.8 vz
VTE12X80;SCREW TE  U5739 12X80 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;80;933;4017;5739;0,511111111;10961;Sechskantschraube M12x80mm DIN931 8.8 vz
VTE12X85;SCREW TE  U5739 12X85 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;85;933;4017;5739;MISSING;132444;Sechskantschraube M12x85mm DIN933 8.8 vz
VTE12X90;SCREW TE  U5739 12X90 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;90;933;4017;5739;0,582638889;106412;Sechskantschraube M12x90mm DIN931 8.8 vz
VTE12X95;SCREW TE  U5739 12X95 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;12;95;933;4017;5739;0,633333333;132445;Sechskantschraube M12x95mm DIN933 8.8 vz
VTE6X16;SCREW TE 4.8 UNI5739-DIN933 6X16 ZB;Hex cap screws;Sechskantschrauben ;6;16;933;4017;5739;0.005;10911;Sechskantschraube M6x16mm DIN933 8.8 vz
VTE6X55;MISSING;Hex cap screws;Sechskantschrauben ;6;55;933;4017;5739;0,082638889;MISSING;MISSING
VTE8X10;SCREW TE 4.8 UNI 5739-DIN933 8X10;Hex cap screws;Sechskantschrauben ;8;10;933;4017;5739;0.0091;10915;Sechskantschraube M8x10mm DIN933 8.8 vz
VTE8X12;SCREW TE 8X12;Hex cap screws;Sechskantschrauben ;8;12;933;4017;5739;0.0098;132453;Sechskantschraube M8x12mm DIN933 8.8 vz
VTE8X15;MISSING;Hex cap screws;Sechskantschrauben ;8;15;933;4017;5739;0,077083333;MISSING;MISSING
VTE8X16;SCREW TE 8X16 ZB.CLASSE 4.8 UNI EN 24017;Hex cap screws;Sechskantschrauben ;8;16;933;4017;5739;0,077083333;10916;Sechskantschraube M8x16mm DIN933 8.8 vz
VTE8X20;SCREW TE 4.8 UNI 5739-DIN933 8X20;Hex cap screws;Sechskantschrauben ;8;20;933;4017;5739;0,085416667;10917;Sechskantschraube M8x20
VTE8X22;SCREW TE  U5739 8X22 ZINC COAT.  ;Hex cap screws;Sechskantschrauben ;8;22;933;4017;5739;0,096527778;132455;Sechskantschraube M8x22mm DIN933 8.8 vz
VTE8X25;SCREW TE 4.8 UNI 5739-DIN933 8X25;Hex cap screws;Sechskantschrauben ;8;25;933;4017;5739;0,096527778;10918;Sechskantschraube M8x25
VTE8X30;SCREW TE 4.8 UNI5739-DIN933 8X30;Hex cap screws;Sechskantschrauben ;8;30;933;4017;5739;0,107638889;10919;Sechskantschraube M8x30mm DIN933 8.8 vz
VTE8X40;SCREW TE  UNI5739 DIN933 8X40;Hex cap screws;Sechskantschrauben ;8;40;933;4017;5739;0,129861111;10921;Sechskantschraube M8x40mm DIN933 8.8 vz
VTE8X50;SCREW TE5739 - DIN933 8X50;Hex cap screws;Sechskantschrauben ;8;50;933;4017;5739;0,151388889;10922;Sechskantschraube M8x50mm DIN933 8.8 vz
VTPS8X20I;SCREW TPS 5933 A2 8X20;Hexagon socket countersunk head screws (fully threaded);Senkschrauben (mit Innensechskant, ohne Schaft);8;20;7991;10642;10642;0.009;132456;Senkschr.-I.6kt M8x20mm DIN7991 A2
VTPS8X30I;SCREW TPS 5933 A2 8X21;Hexagon socket countersunk head screws (fully threaded);Senkschrauben (mit Innensechskant, ohne Schaft);8;30;7991;10642;10642;0.012;132457;Senkschr.-I.6kt M8x30mm DIN7991 A2
